IATA_CODE,AIRPORT,CITY,STATE,COUNTRY
ABE,Lehigh Valley International Airport,Allentown,PA,USA
ABI,Abilene Regional Airport,Abilene,TX,USA
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA
ABY,Southwest Georgia Regional Airport,Albany,GA,USA
ACK,Nantucket Memorial Airport,Nantucket,MA,USA
ACT,Waco Regional Airport,Waco,TX,USA
ACV,Arcata Airport,Arcata/Eureka,CA,USA
ACY,Atlantic City International Airport,Atlantic City,NJ,USA
ADK,Adak Airport,Adak,AK,USA
ADQ,Kodiak Airport,Kodiak,AK,USA
AEX,Alexandria International Airport,Alexandria,LA,USA
AGS,Augusta Regional AirportÂ (Bush Field),Augusta,GA,USA
AKN,King Salmon Airport,King Salmon,AK,USA
ALB,Albany International Airport,Albany,NY,USA
ALO,Waterloo Regional Airport,Waterloo,IA,USA
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA
APN,Alpena County Regional Airport,Alpena,MI,USA
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA
ATW,Appleton International Airport,Appleton,WI,USA
AUS,Austin-Bergstrom International Airport,Austin,TX,USA
AVL,Asheville Regional Airport,Asheville,NC,USA
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA
BDL,Bradley International Airport,Windsor Locks,CT,USA
BET,Bethel Airport,Bethel,AK,USA
BFL,Meadows Field,Bakersfield,CA,USA
BGM,Greater Binghamton Airport,Binghamton,NY,USA
BGR,Bangor International Airport,Bangor,ME,USA
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA
BIL,Billings Logan International Airport,Billings,MT,USA
BIS,Bismarck Municipal Airport,Bismarck,ND,USA
BJI,Bemidji Regional Airport,Bemidji,MN,USA
BLI,Bellingham International Airport,Bellingham,WA,USA
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA
BNA,Nashville International Airport,Nashville,TN,USA
BOI,Boise AirportÂ (Boise Air Terminal),Boise,ID,USA
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA
BPT,Jack Brooks Regional AirportÂ (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA
BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA
BQN,Rafael HernÃ¡ndez Airport,Aguadilla,PR,USA
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA
BTM,Bert Mooney Airport,Butte,MT,USA
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA
BTV,Burlington International Airport,Burlington,VT,USA
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA
BUR,Bob Hope AirportÂ (Hollywood Burbank Airport),Burbank,CA,USA
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA
BZN,Bozeman Yellowstone International AirportÂ (Gallatin Field Airport),Bozeman,MT,USA
CAE,Columbia Metropolitan Airport,Columbia,SC,USA
CAK,Akron-Canton Regional Airport,Akron,OH,USA
CDC,Cedar City Regional Airport,Cedar City,UT,USA
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA
CEC,Del Norte County AirportÂ (Jack McNamara Field),Crescent City,CA,USA
CHA,Chattanooga Metropolitan AirportÂ (Lovell Field),Chattanooga,TN,USA
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA
CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA
CLD,McClellan-Palomar Airport,San Diego,CA,USA
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA
CLL,Easterwood Airport,College Station,TX,USA
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA
CMH,Port Columbus International Airport,Columbus,OH,USA
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA
CMX,Houghton County Memorial Airport,Hancock,MI,USA
CNY,Canyonlands Field,Moab,UT,USA
COD,Yellowstone Regional Airport,Cody,WY,USA
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA
COU,Columbia Regional Airport,Columbia,MO,USA
CPR,Natrona County International Airport,Casper,WY,USA
CRP,Corpus Christi International Airport,Corpus Christi,TX,USA
CRW,Yeager Airport,Charleston,WV,USA
CSG,Columbus Metropolitan Airport,Columbus,GA,USA
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA
CWA,Central Wisconsin Airport,Mosinee,WI,USA
DAB,Daytona Beach International Airport,Daytona Beach,FL,USA
DAL,Dallas Love Field,Dallas,TX,USA
DAY,James M. Cox Dayton International Airport,Dayton,OH,USA
DBQ,Dubuque Regional Airport,Dubuque,IA,USA
DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA
DEN,Denver International Airport,Denver,CO,USA
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA
DHN,Dothan Regional Airport,Dothan,AL,USA
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,USA
DLG,Dillingham Airport,Dillingham,AK,USA
DLH,Duluth International Airport,Duluth,MN,USA
DRO,Durango-La Plata County Airport,Durango,CO,USA
DSM,Des Moines International Airport,Des Moines,IA,USA
DTW,Detroit Metropolitan Airport,Detroit,MI,USA
DVL,Devils Lake Regional Airport,Devils Lake,ND,USA
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,USA
ECP,Northwest Florida Beaches International Airport,Panama City,FL,USA
EGE,Eagle County Regional Airport,Eagle,CO,USA
EKO,Elko Regional Airport,Elko,NV,USA
ELM,Elmira/Corning Regional Airport,Elmira,NY,USA
ELP,El Paso International Airport,El Paso,TX,USA
ERI,Erie International Airport,Erie,PA,USA
ESC,Delta County Airport,Escanaba,MI,USA
EUG,Eugene AirportÂ (Mahlon Sweet Field),Eugene,OR,USA
EVV,Evansville Regional Airport,Evansville,IN,USA
EWN,Coastal Carolina Regional AirportÂ (Craven County Regional),New Bern,NC,USA
EWR,Newark Liberty International Airport,Newark,NJ,USA
EYW,Key West International Airport,Key West,FL,USA
FAI,Fairbanks International Airport,Fairbanks,AK,USA
FAR,Hector International Airport,Fargo,ND,USA
FAT,Fresno Yosemite International Airport,Fresno,CA,USA
FAY,Fayetteville Regional Airport,Fayetteville,NC,USA
FCA,Glacier Park International Airport,Kalispell,MT,USA
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,USA
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA
FNT,Bishop International Airport,Flint,MI,USA
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,USA
FSM,Fort Smith Regional Airport,Fort Smith,AR,USA
FWA,Fort Wayne International Airport,Fort Wayne,IN,USA
GCC,Gillette-Campbell County Airport,Gillette,WY,USA
GCK,Garden City Regional Airport,Garden City,KS,USA
GEG,Spokane International Airport,Spokane,WA,USA
GFK,Grand Forks International Airport,Grand Forks,ND,USA
GGG,East Texas Regional Airport,Longview,TX,USA
GJT,Grand Junction Regional AirportÂ (Walker Field),Grand Junction,CO,USA
GNV,Gainesville Regional Airport,Gainesville,FL,USA
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,USA
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,USA
GRI,Central Nebraska Regional Airport,Grand Island,NE,USA
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,USA
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,USA
GSO,Piedmont Triad International Airport,Greensboro,NC,USA
GSP,Greenville-Spartanburg International Airport,Greer,SC,USA
GST,Gustavus Airport,Gustavus,AK,USA
GTF,Great Falls International Airport,Great Falls,MT,USA
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,USA
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,USA
GUM,Guam International Airport,Agana,GU,USA
HDN,Yampa Valley AirportÂ (Yampa Valley Regional),Hayden,CO,USA
HIB,Range Regional AirportÂ (Chisholm-Hibbing Airport),Hibbing,MN,USA
HLN,Helena Regional Airport,Helena,MT,USA
HNL,Honolulu International Airport,Honolulu,HI,USA
HOB,Lea County Regional Airport,Hobbs,NM,USA
HOU,William P. Hobby Airport,Houston,TX,USA
HPN,Westchester County Airport,White Plains,NY,USA
HRL,Valley International Airport,Harlingen,TX,USA
HSV,Huntsville International Airport,Huntsville,AL,USA
HYA,Barnstable Municipal Airport,Hyannis,MA,USA
HYS,Hays Regional Airport,Hays,KS,USA
IAD,Washington Dulles International Airport,Chantilly,VA,USA
IAG,Niagara Falls International Airport,Niagara Falls,NY,USA
IAH,George Bush Intercontinental Airport,Houston,TX,USA
ICT,Wichita Dwight D. Eisenhower National AirportÂ (Wichita Mid-Continent Airport),Wichita,KS,USA
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,USA
ILG,Wilmington Airport,Wilmington,DE,USA
ILM,Wilmington International Airport,Wilmington,NC,USA
IMT,Ford Airport,Iron Mountain/Kingsford,MI,USA
IND,Indianapolis International Airport,Indianapolis,IN,USA
INL,Falls International Airport,International Falls,MN,USA
ISN,Sloulin Field International Airport,Williston,ND,USA
ISP,Long Island MacArthur Airport,Islip,NY,USA
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,USA
ITO,Hilo International Airport,Hilo,HI,USA
JAC,Jackson Hole Airport,Jackson,WY,USA
JAN,Jackson-Evers International Airport,Jackson,MS,USA
JAX,Jacksonville International Airport,Jacksonville,FL,USA
JFK,John F. Kennedy International AirportÂ (New York International Airport),New York,NY,USA
JLN,Joplin Regional Airport,Joplin,MO,USA
JMS,Jamestown Regional Airport,Jamestown,ND,USA
JNU,Juneau International Airport,Juneau,AK,USA
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,USA
KTN,Ketchikan International Airport,Ketchikan,AK,USA
LAN,Capital Region International AirportÂ ( Lansing Capital City),Lansing,MI,USA
LAR,Laramie Regional Airport,Laramie,WY,USA
LAS,McCarran International Airport,Las Vegas,NV,USA
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,USA
LAX,Los Angeles International Airport,Los Angeles,CA,USA
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,USA
LBE,Arnold Palmer Regional Airport,Latrobe,PA,USA
LCH,Lake Charles Regional Airport,Lake Charles,LA,USA
LEX,Blue Grass Airport,Lexington,KY,USA
LFT,Lafayette Regional Airport,Lafayette,LA,USA
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA
LGB,Long Beach AirportÂ (Daugherty Field),Long Beach,CA,USA
LIH,Lihue Airport,Lihue,HI,USA
LIT,Bill and Hillary Clinton National AirportÂ (Adams Field),Little Rock,AR,USA
LNK,Lincoln AirportÂ (Lincoln Municipal),Lincoln,NE,USA
LRD,Laredo International Airport,Laredo,TX,USA
LSE,La Crosse Regional Airport,La Crosse,WI,USA
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,USA
MAF,Midland International Airport,Midland,TX,USA
MBS,MBS International Airport,Saginaw,MI,USA
MCI,Kansas City International Airport,Kansas City,MO,USA
MCO,Orlando International Airport,Orlando,FL,USA
MDT,Harrisburg International Airport,Harrisburg,PA,USA
MDW,Chicago Midway International Airport,Chicago,IL,USA
MEI,Meridian Regional Airport,Meridian,MS,USA
MEM,Memphis International Airport,Memphis,TN,USA
MFE,McAllen-Miller International AirportÂ (McAllen Miller International),McAllen,TX,USA
MFR,Rogue Valley International Airport,Medford,OR,USA
MGM,Montgomery Regional Airport,Montgomery,AL,USA
MHK,Manhattan Regional Airport,Manhattan,KS,USA
MHT,Manchester-Boston Regional Airport,Manchester,NH,USA
MIA,Miami International Airport,Miami,FL,USA
MKE,General Mitchell International Airport,Milwaukee,WI,USA
MKG,Muskegon County Airport,Muskegon,MI,USA
MLB,Melbourne International Airport,Melbourne,FL,USA
MLI,Quad City International Airport,Moline,IL,USA
MLU,Monroe Regional Airport,Monroe,LA,USA
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,USA
MOB,Mobile Regional Airport,Mobile,AL,USA
MOT,Minot International Airport,Minot,ND,USA
MQT,Sawyer International Airport,Marquette,MI,USA
MRY,Monterey Regional AirportÂ (Monterey Peninsula Airport),Monterey,CA,USA
MSN,Dane County Regional Airport,Madison,WI,USA
MSO,Missoula International Airport,Missoula,MT,USA
